Condition	Species	riboCIRC_ID	Genome_assembly	Genome_pos	Strand	Spliced_length	Transcript	Symbol	Ensembl	Dataset_count	Evidences	Other_ids
Condition-independent	Human	hsa_circAUTS2_001	hg38	chr7:69899285-69899498	+	213	NM_015570	AUTS2	ENSG00000158321	1	2: RPF,cORF	circAtlas:hsa-AUTS2_0003,circBank:hsa_circAUTS2_009,circBase:hsa_circ_0080414,CIRCpedia:HSA_CIRCpedia_58642,circRNADb:hsa_circ_23547,CSCD:chr7:69899285-69899498,exoRBase:exo_circ_011668
Condition-independent	Human	hsa_circAUTS2_002	hg38	chr7:70762869-70771644	+	1088	NM_015570	AUTS2	ENSG00000158321	1	3: RPF,cORF,m6A	circAtlas:hsa-AUTS2_0006,circBank:hsa_circAUTS2_033,circBase:hsa_circ_0080420,CIRCpedia:HSA_CIRCpedia_58646,circRNADb:hsa_circ_02133,CSCD:chr7:70762869-70771644,exoRBase:exo_circ_011682
Condition-independent	Human	hsa_circCALN1_001	hg38	chr7:72106150-72106294	-	144	NM_001017440	CALN1	ENSG00000183166	2	2: RPF,cORF	circBank:hsa_circCALN1_008,circBase:hsa_circ_0080433,CIRCpedia:HSA_CIRCpedia_132565
Condition-independent	Human	hsa_circBUD23_001	hg38	chr7:73686635-73687095	+	276	NM_017528	BUD23	ENSG00000071462	1	3: RPF,cORF,m6A	circAtlas:hsa-WBSCR22_0001,circBank:hsa_circWBSCR22_003,circBase:hsa_circ_0005588,CIRCpedia:HSA_CIRCpedia_58740,circRNADb:hsa_circ_13584,CSCD:chr7:73686635-73687095,exoRBase:exo_circ_006885
Condition-independent	Human	hsa_circGTF2I_001	hg38	chr7:74705163-74716950	+	450	NM_001518	GTF2I	ENSG00000263001	1	3: RPF,cORF,MS	circAtlas:hsa-GTF2I_0019,CIRCpedia:HSA_CIRCpedia_58830
Condition-independent	Human	hsa_circDTX2P1-UPK3BP1-PMS2P11_001	hg38	chr7:77011879-77018997	+	500	NR_023383	DTX2P1-UPK3BP1-PMS2P11	ENSG00000265479	4	3: RPF,cORF,MS	circRNADb:hsa_circ_06140
Condition-independent	Human	hsa_circPTPN12_001	hg38	chr7:77585542-77600806	+	314	NM_002835	PTPN12	ENSG00000127947	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-PTPN12_0037,circBank:hsa_circPTPN12_022,circBase:hsa_circ_0003764,CIRCpedia:HSA_CIRCpedia_59025,circRNADb:hsa_circ_29620,CSCD:chr7:77585542-77600806,exoRBase:exo_circ_000067
Condition-independent	Human	hsa_circCOL1A2_001	hg38	chr7:94404838-94407891	+	261	NM_000089	COL1A2	ENSG00000164692	1	3: RPF,cORF,MS	CSCD:chr7:94404838-94407891
Condition-independent	Human	hsa_circCOL1A2_002	hg38	chr7:94407846-94417831	+	1377	NM_000089	COL1A2	ENSG00000164692	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-COL1A2_0008,CSCD:chr7:94407846-94417831
Condition-independent	Human	hsa_circPDAP1_001	hg38	chr7:99403397-99404953	-	200	NM_014891	PDAP1	ENSG00000106244	1	3: RPF,cORF,m6A	circAtlas:hsa-PDAP1_0001,CIRCpedia:HSA_CIRCpedia_59496,circRNADb:hsa_circ_14167,CSCD:chr7:99403397-99404953
Condition-independent	Human	hsa_circZKSCAN1_001	hg38	chr7:100023418-100024307	+	668	NM_001346579	ZKSCAN1	ENSG00000106261	2	4: RPF,cORF,MS,m6A	Circ2Disease:circZKSCAN1,circAtlas:hsa-ZKSCAN1_0001,circBank:hsa_circZKSCAN1_005,circBase:hsa_circ_0001727,CIRCpedia:HSA_CIRCpedia_59516,circRNADb:hsa_circ_31593,CSCD:chr7:100023418-100024307,exoRBase:exo_circ_000009
Condition-independent	Human	hsa_circMYL10_001	hg38	chr7:101623919-101624021	-	102	NM_138403	MYL10	ENSG00000106436	57	4: RPF,cORF,MS,IRES	circBank:hsa_circMYL10_002,circBase:hsa_circ_0081604
Condition-independent	Human	hsa_circMYL10_002	hg38	chr7:101623919-101629296	-	451	NM_138403	MYL10	ENSG00000106436	11	4: RPF,cORF,MS,IRES	circBank:hsa_circMYL10_001,circBase:hsa_circ_0081605
Condition-independent	Human	hsa_circCUX1_001	hg38	chr7:101916114-101916225	+	111	NM_001202544	CUX1	ENSG00000257923	2	3: RPF,cORF,m6A	circBank:hsa_circCUX1_001,circBase:hsa_circ_0081606,CIRCpedia:HSA_CIRCpedia_56022,CSCD:chr7:101916114-101916225
Condition-independent	Human	hsa_circPMPCB_001	hg38	chr7:103303841-103304490	+	279	NM_004279	PMPCB	ENSG00000105819	1	3: RPF,cORF,m6A	circAtlas:hsa-PMPCB_0001,circBank:hsa_circPMPCB_004,circBase:hsa_circ_0008540,CIRCpedia:HSA_CIRCpedia_56099,circRNADb:hsa_circ_21954,CSCD:chr7:103303841-103304490,exoRBase:exo_circ_000742
Condition-independent	Human	hsa_circDNAJC2_001	hg38	chr7:103321931-103322794	-	364	NM_001362667	DNAJC2	ENSG00000105821	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-DNAJC2_0003,circBank:hsa_circDNAJC2_002,circBase:hsa_circ_0081751,CIRCpedia:HSA_CIRCpedia_68335,CSCD:chr7:103321931-103322794,exoRBase:exo_circ_000152
Condition-independent	Human	hsa_circKMT2E_001	hg38	chr7:105062163-105066807	+	426	NM_018682	KMT2E	ENSG00000005483	1	3: RPF,cORF,m6A	circAtlas:hsa-KMT2E_0001,circBank:hsa_circMLL5_017,circBase:hsa_circ_0081813,CIRCpedia:HSA_CIRCpedia_56150,circRNADb:hsa_circ_17857,CSCD:chr7:105062163-105066807,exoRBase:exo_circ_017523
Condition-independent	Human	hsa_circKMT2E_002	hg38	chr7:105062163-105091314	+	1651	NM_018682	KMT2E	ENSG00000005483	1	3: RPF,cORF,m6A	circAtlas:hsa-KMT2E_0007,circBank:hsa_circMLL5_021,circBase:hsa_circ_0132876,CIRCpedia:HSA_CIRCpedia_56153,circRNADb:hsa_circ_11775,CSCD:chr7:105062163-105091314,exoRBase:exo_circ_024102
Condition-independent	Human	hsa_circPUS7_001	hg38	chr7:105472131-105506273	-	327	NM_001318163	PUS7	ENSG00000091127	1	2: RPF,cORF	circAtlas:hsa-PUS7_0009,circBank:hsa_circPUS7_011,circBase:hsa_circ_0081852,CIRCpedia:HSA_CIRCpedia_56198,circRNADb:hsa_circ_22566,CSCD:chr7:105472131-105506273,exoRBase:exo_circ_044535
Condition-independent	Human	hsa_circFOXP2_001	hg38	chr7:114631527-114631705	+	178	NM_148900	FOXP2	ENSG00000128573	6	2: RPF,cORF	circAtlas:hsa-FOXP2_0065,TSCD:chr7:114631527-114631705
Condition-independent	Human	hsa_circSND1_001	hg38	chr7:127844323-127904819	+	285	NM_014390	SND1	ENSG00000197157	1	3: RPF,cORF,MS	circAtlas:hsa-SND1_0003,circBank:hsa_circSND1_054,circBase:hsa_circ_0082150,CIRCpedia:HSA_CIRCpedia_56508,CSCD:chr7:127844323-127904819
Condition-independent	Human	hsa_circTNPO3_001	hg38	chr7:129014978-129018157	-	432	NR_034053	TNPO3	ENSG00000064419	1	3: RPF,cORF,m6A	circAtlas:hsa-TNPO3_0002,circBank:hsa_circTNPO3_005,circBase:hsa_circ_0001741,CIRCpedia:HSA_CIRCpedia_56602,circRNADb:hsa_circ_18615,CSCD:chr7:129014978-129018157,exoRBase:exo_circ_000254
Condition-independent	Human	hsa_circSMO_001	hg38	chr7:129205202-129206587	+	727	NM_005631	SMO	ENSG00000128602	2	2: RPF,cORF	circAtlas:hsa-SMO_0001,circBank:hsa_circSMO_007,circBase:hsa_circ_0001742,CIRCpedia:HSA_CIRCpedia_56610,circRNADb:hsa_circ_13808,CSCD:chr7:129205202-129206587,exoRBase:exo_circ_029512
Condition-independent	Human	hsa_circNRF1_001	hg38	chr7:129657342-129727365	+	954	NM_001293163	NRF1	ENSG00000106459	1	3: RPF,cORF,IRES	circAtlas:hsa-NRF1_0008,circBank:hsa_circNRF1_007,circBase:hsa_circ_0082307,CIRCpedia:HSA_CIRCpedia_56644,circRNADb:hsa_circ_04109,CSCD:chr7:129657342-129727365,exoRBase:exo_circ_047508
Condition-independent	Human	hsa_circKLHDC10_001	hg38	chr7:130120748-130122202	+	304	NM_014997	KLHDC10	ENSG00000128607	2	3: RPF,cORF,MS	circAtlas:hsa-KLHDC10_0008,circBank:hsa_circKLHDC10_012,circBase:hsa_circ_0002190,CIRCpedia:HSA_CIRCpedia_56682,circRNADb:hsa_circ_19324,CSCD:chr7:130120748-130122202,exoRBase:exo_circ_000166
Condition-independent	Human	hsa_circTRIM24_001	hg38	chr7:138504289-138538803	+	779	NM_003852	TRIM24	ENSG00000122779	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-TRIM24_0001,circBank:hsa_circTRIM24_006,circBase:hsa_circ_0082574,CIRCpedia:HSA_CIRCpedia_56890,circRNADb:hsa_circ_01110,CSCD:chr7:138504289-138538803,exoRBase:exo_circ_017529
Condition-independent	Human	hsa_circFMC1-LUC7L2_001	hg38	chr7:139345500-139376156	+	216	NM_001244584	FMC1-LUC7L2	ENSG00000269955	2	4: RPF,cORF,MS,m6A	circAtlas:hsa-C7orf55-LUC7L2_0025,CIRCpedia:HSA_CIRCpedia_114678
Condition-independent	Human	hsa_circLUC7L2_001	hg38	chr7:139374400-139376156	+	244	NM_001270643	LUC7L2	ENSG00000146963	1	3: RPF,cORF,MS	circAtlas:hsa-LUC7L2_0004,circBank:hsa_circC7orf55-LUC7L2_001,circBase:hsa_circ_0133530,CIRCpedia:HSA_CIRCpedia_56971,circRNADb:hsa_circ_21941,CSCD:chr7:139374400-139376156,exoRBase:exo_circ_037210
Condition-independent	Human	hsa_circBRAF_001	hg38	chr7:140776911-140787584	-	554	NM_001354609	BRAF	ENSG00000157764	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-BRAF_0025,circBank:hsa_circBRAF_039,circBase:hsa_circ_0133577,CIRCpedia:HSA_CIRCpedia_57080,circRNADb:hsa_circ_09349,CSCD:chr7:140776911-140787584
Condition-independent	Human	hsa_circEZH2_001	hg38	chr7:148846469-148847305	-	253	NM_004456	EZH2	ENSG00000106462	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-EZH2_0001,circBank:hsa_circEZH2_005,circBase:hsa_circ_0006357,CIRCpedia:HSA_CIRCpedia_57174,circRNADb:hsa_circ_22432,CSCD:chr7:148846469-148847305,exoRBase:exo_circ_000658
Condition-independent	Human	hsa_circKMT2C_001	hg38	chr7:152205105-152207428	-	249	NM_170606	KMT2C	ENSG00000055609	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-KMT2C_0041,circBank:hsa_circMLL3_097,circBase:hsa_circ_0083014,CIRCpedia:HSA_CIRCpedia_57269,circRNADb:hsa_circ_30832,CSCD:chr7:152205105-152207428
Condition-independent	Human	hsa_circKMT2C_002	hg38	chr7:152238706-152250966	-	1031	NM_170606	KMT2C	ENSG00000055609	1	3: RPF,cORF,m6A	circAtlas:hsa-KMT2C_0088,circBank:hsa_circMLL3_066,circBase:hsa_circ_0133715,CIRCpedia:HSA_CIRCpedia_57283,CSCD:chr7:152238706-152250966
Condition-independent	Human	hsa_circKMT2C_003	hg38	chr7:152249875-152250966	-	192	NM_170606	KMT2C	ENSG00000055609	1	3: RPF,cORF,MS	circAtlas:hsa-KMT2C_0087,circBank:hsa_circMLL3_065,circBase:hsa_circ_0005823,CIRCpedia:HSA_CIRCpedia_57286,circRNADb:hsa_circ_20263,CSCD:chr7:152249875-152250966,exoRBase:exo_circ_000286
Condition-independent	Human	hsa_circKMT2C_004	hg38	chr7:152309965-152315338	-	460	NM_170606	KMT2C	ENSG00000055609	1	3: RPF,cORF,m6A	circAtlas:hsa-KMT2C_0001,circBank:hsa_circMLL3_013,circBase:hsa_circ_0001769,CIRCpedia:HSA_CIRCpedia_57295,circRNADb:hsa_circ_32798,CSCD:chr7:152309965-152315338,exoRBase:exo_circ_000098
Condition-independent	Human	hsa_circRBM33_001	hg38	chr7:155665174-155680908	+	524	NM_053043	RBM33	ENSG00000184863	2	3: RPF,cORF,m6A	circAtlas:hsa-RBM33_0001,circBank:hsa_circRBM33_006,circBase:hsa_circ_0001771,CIRCpedia:HSA_CIRCpedia_57334,circRNADb:hsa_circ_27246,CSCD:chr7:155665174-155680908,exoRBase:exo_circ_000111
Condition-independent	Human	hsa_circRBM33_002	hg38	chr7:155672866-155680908	+	445	NM_053043	RBM33	ENSG00000184863	10	4: RPF,cORF,MS,m6A	circAtlas:hsa-RBM33_0009,circBank:hsa_circRBM33_012,circBase:hsa_circ_0001772,CIRCpedia:HSA_CIRCpedia_57339,circRNADb:hsa_circ_24570,CSCD:chr7:155672866-155680908,exoRBase:exo_circ_000066
Condition-independent	Human	hsa_circRBM33_003	hg38	chr7:155706859-155718443	+	521	NM_053043	RBM33	ENSG00000184863	2	3: RPF,cORF,m6A	circAtlas:hsa-RBM33_0002,circBank:hsa_circRBM33_027,circBase:hsa_circ_0002094,CIRCpedia:HSA_CIRCpedia_57345,circRNADb:hsa_circ_02010,CSCD:chr7:155706859-155718443,exoRBase:exo_circ_000982
Condition-independent	Human	hsa_circDNAJB6_001	hg38	chr7:157366501-157367483	+	171	NM_001363676	DNAJB6	ENSG00000105993	2	2: RPF,cORF	circAtlas:hsa-DNAJB6_0002,circBank:hsa_circDNAJB6_005,circBase:hsa_circ_0002451,CIRCpedia:HSA_CIRCpedia_57430,circRNADb:hsa_circ_23266,CSCD:chr7:157366501-157367483
Condition-independent	Human	hsa_circESYT2_001	hg38	chr7:158759485-158764853	-	495	NM_001367773	ESYT2	ENSG00000117868	1	3: RPF,cORF,m6A	circAtlas:hsa-ESYT2_0009,circBank:hsa_circESYT2_032,circBase:hsa_circ_0001776,CIRCpedia:HSA_CIRCpedia_57466,circRNADb:hsa_circ_25060,CSCD:chr7:158759485-158764853,exoRBase:exo_circ_000010
Condition-independent	Human	hsa_circWDR60_001	hg38	chr7:158869854-158876691	+	558	NM_018051	WDR60	ENSG00000126870	2	3: RPF,cORF,m6A	circAtlas:hsa-WDR60_0005,circBank:hsa_circWDR60_001,circBase:hsa_circ_0001778,CIRCpedia:HSA_CIRCpedia_113662,circRNADb:hsa_circ_12841,CSCD:chr7:158869854-158876691
Condition-independent	Human	hsa_circTNKS_001	hg38	chr8:9706810-9726720	+	732	NM_003747	TNKS	ENSG00000173273	1	4: RPF,cORF,MS,m6A	circBank:hsa_circTNKS_023,circBase:hsa_circ_0083308
Condition-independent	Human	hsa_circTUSC3_001	hg38	chr8:15623079-15662296	+	570	NM_006765	TUSC3	ENSG00000104723	1	3: RPF,cORF,MS	circAtlas:hsa-TUSC3_0003,circBank:hsa_circTUSC3_003,circBase:hsa_circ_0083389,CIRCpedia:HSA_CIRCpedia_60420,CSCD:chr8:15623079-15662296
Condition-independent	Human	hsa_circTUSC3_002	hg38	chr8:15623079-15673836	+	660	NM_006765	TUSC3	ENSG00000104723	1	2: RPF,cORF	circAtlas:hsa-TUSC3_0002,circBank:hsa_circTUSC3_004,circBase:hsa_circ_0083390,CIRCpedia:HSA_CIRCpedia_60421,circRNADb:hsa_circ_32336,CSCD:chr8:15623079-15673836
Condition-independent	Human	hsa_circTUSC3_003	hg38	chr8:15673746-15673836	+	90	NM_006765	TUSC3	ENSG00000104723	1	3: RPF,cORF,MS	circBank:hsa_circTUSC3_010,circBase:hsa_circ_0083394
Condition-independent	Human	hsa_circVPS37A_001	hg38	chr8:17268257-17286427	+	834	NM_001363167	VPS37A	ENSG00000155975	1	2: RPF,cORF	circAtlas:hsa-VPS37A_0019,circBank:hsa_circVPS37A_006,circBase:hsa_circ_0008555,CIRCpedia:HSA_CIRCpedia_60444,circRNADb:hsa_circ_30380,CSCD:chr8:17268257-17286427
Condition-independent	Human	hsa_circPCM1_001	hg38	chr8:18011236-18011827	+	291	NM_001352647	PCM1	ENSG00000078674	2	4: RPF,cORF,MS,m6A	circAtlas:hsa-PCM1_0058,circBank:hsa_circPCM1_052,circBase:hsa_circ_0083465,CIRCpedia:HSA_CIRCpedia_60497,circRNADb:hsa_circ_16767,CSCD:chr8:18011236-18011827,exoRBase:exo_circ_000182
Condition-independent	Human	hsa_circPSD3_001	hg38	chr8:18765448-18765538	-	90	NM_206909	PSD3	ENSG00000156011	1	2: RPF,cORF	circBank:hsa_circPSD3_023,circBase:hsa_circ_0083474
Condition-independent	Human	hsa_circPSD3_002	hg38	chr8:18799294-18804898	-	448	NM_206909	PSD3	ENSG00000156011	1	4: RPF,cORF,MS,m6A	Circ2Disease:hsa_circRNA_104566,circAtlas:hsa-PSD3_0018,circBank:hsa_circPSD3_017,circBase:hsa_circ_0004458,CIRCpedia:HSA_CIRCpedia_60521,circRNADb:hsa_circ_02851,CSCD:chr8:18799294-18804898,exoRBase:exo_circ_001096
Condition-independent	Human	hsa_circGTF2E2_001	hg38	chr8:30607056-30614715	-	385	NM_001348353	GTF2E2	ENSG00000197265	2	3: RPF,cORF,m6A	circAtlas:hsa-GTF2E2_0002,circBank:hsa_circGTF2E2_004,circBase:hsa_circ_0136317,CIRCpedia:HSA_CIRCpedia_60833,circRNADb:hsa_circ_32179,CSCD:chr8:30607056-30614715,exoRBase:exo_circ_035584
Condition-independent	Human	hsa_circGSR_001	hg38	chr8:30700080-30712088	-	389	NM_001195102	GSR	ENSG00000104687	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-GSR_0004,circBank:hsa_circGSR_004,circBase:hsa_circ_0083863,CIRCpedia:HSA_CIRCpedia_60856,circRNADb:hsa_circ_18649,CSCD:chr8:30700080-30712088
Condition-independent	Human	hsa_circASH2L_001	hg38	chr8:38114191-38119363	+	362	NM_001105214	ASH2L	ENSG00000129691	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-ASH2L_0010,circBank:hsa_circASH2L_015,circBase:hsa_circ_0001790,CIRCpedia:HSA_CIRCpedia_60944,circRNADb:hsa_circ_26279,CSCD:chr8:38114191-38119363
Condition-independent	Human	hsa_circHOOK3_001	hg38	chr8:42906172-42943445	+	343	NM_032410	HOOK3	ENSG00000168172	1	2: RPF,cORF	circAtlas:hsa-HOOK3_0003,circBank:hsa_circHOOK3_003,circBase:hsa_circ_0084143,CIRCpedia:HSA_CIRCpedia_61143,circRNADb:hsa_circ_25385,CSCD:chr8:42906172-42943445,exoRBase:exo_circ_006007
Condition-independent	Human	hsa_circSPIDR_001	hg38	chr8:47396375-47407961	+	352	NM_001352932	SPIDR	ENSG00000164808	1	3: RPF,cORF,m6A	circAtlas:hsa-SPIDR_0004,CIRCpedia:HSA_CIRCpedia_61202,CSCD:chr8:47396375-47407961,exoRBase:exo_circ_000011
Condition-independent	Human	hsa_circPRKDC_001	hg38	chr8:47953619-47957431	-	567	NM_006904	PRKDC	ENSG00000253729	1	2: RPF,cORF	circAtlas:hsa-PRKDC_0001,circBank:hsa_circPRKDC_010,circBase:hsa_circ_0084464,CIRCpedia:HSA_CIRCpedia_61311,CSCD:chr8:47953619-47957431,exoRBase:exo_circ_006334
Condition-independent	Human	hsa_circPCMTD1_001	hg38	chr8:51831443-51861246	-	993	NM_001363193	PCMTD1	ENSG00000168300	1	2: RPF,cORF	circAtlas:hsa-PCMTD1_0004,circBank:hsa_circPCMTD1_009,circBase:hsa_circ_0136720,CIRCpedia:HSA_CIRCpedia_61335,circRNADb:hsa_circ_17539,CSCD:chr8:51831443-51861246,exoRBase:exo_circ_000746
Condition-independent	Human	hsa_circPCMTD1_002	hg38	chr8:51860844-51861246	-	402	NM_001363193	PCMTD1	ENSG00000168300	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-PCMTD1_0002,circBank:hsa_circPCMTD1_004,circBase:hsa_circ_0001801,CIRCpedia:HSA_CIRCpedia_61337,circRNADb:hsa_circ_02918,CSCD:chr8:51860844-51861246
Condition-independent	Human	hsa_circTCEA1_001	hg38	chr8:53999944-54010492	-	169	NM_006756	TCEA1	ENSG00000187735	1	3: RPF,cORF,MS	circBank:hsa_circTCEA1_001,circBase:hsa_circ_0003053,CIRCpedia:HSA_CIRCpedia_61367,circRNADb:hsa_circ_26459,CSCD:chr8:53999944-54010492
Condition-independent	Human	hsa_circRAB2A_001	hg38	chr8:60572045-60591969	+	356	NM_001242644	RAB2A	ENSG00000104388	1	2: RPF,cORF	circAtlas:hsa-RAB2A_0001,circBank:hsa_circRAB2A_005,circBase:hsa_circ_0007581,CIRCpedia:HSA_CIRCpedia_61407,circRNADb:hsa_circ_09813,CSCD:chr8:60572045-60591969,exoRBase:exo_circ_001183
Condition-independent	Human	hsa_circASPH_001	hg38	chr8:61618977-61653660	-	654	NM_001164750	ASPH	ENSG00000198363	1	3: RPF,cORF,m6A	circAtlas:hsa-AC090094_0007,circBank:hsa_circASPH_017,circBase:hsa_circ_0084606,CIRCpedia:HSA_CIRCpedia_61434,circRNADb:hsa_circ_26342,CSCD:chr8:61618977-61653660
Condition-independent	Human	hsa_circNCOA2_001	hg38	chr8:70159504-70162854	-	292	NM_001321713	NCOA2	ENSG00000140396	1	2: RPF,cORF	circAtlas:hsa-NCOA2_0026,circBank:hsa_circNCOA2_013,circBase:hsa_circ_0001810,CIRCpedia:HSA_CIRCpedia_61630,circRNADb:hsa_circ_24170,CSCD:chr8:70159504-70162854,exoRBase:exo_circ_000153
Condition-independent	Human	hsa_circSTAU2_001	hg38	chr8:73595165-73739868	-	1357	NM_001164380	STAU2	ENSG00000040341	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-STAU2_0037,CIRCpedia:HSA_CIRCpedia_149569
Condition-independent	Human	hsa_circELOC_001	hg38	chr8:73955910-73964629	-	341	NM_001204858	ELOC	ENSG00000154582	2	3: RPF,cORF,m6A	CSCD:chr8:73955910-73964629,TSCD:chr8:73955910-73964629
Condition-independent	Human	hsa_circIL7_001	hg38	chr8:78736473-78740082	-	267	NM_000880	IL7	ENSG00000104432	1	3: RPF,cORF,MS	circAtlas:hsa-IL7_0001,CIRCpedia:HSA_CIRCpedia_61687,CSCD:chr8:78736473-78740082
Condition-independent	Human	hsa_circWWP1_001	hg38	chr8:86368938-86381629	+	448	NM_007013	WWP1	ENSG00000123124	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-WWP1_0013,circBank:hsa_circWWP1_002,circBase:hsa_circ_0137216,CIRCpedia:HSA_CIRCpedia_61711,circRNADb:hsa_circ_14862,CSCD:chr8:86368938-86381629
Condition-independent	Human	hsa_circVIRMA_001	hg38	chr8:94537102-94538346	-	136	NM_183009	VIRMA	ENSG00000164944	1	2: RPF,cORF	circAtlas:hsa-KIAA1429_0032,circBank:hsa_circKIAA1429_013,circBase:hsa_circ_0006896,CIRCpedia:HSA_CIRCpedia_61829,circRNADb:hsa_circ_30498,CSCD:chr8:94537102-94538346,exoRBase:exo_circ_025870
Condition-independent	Human	hsa_circPTDSS1_001	hg38	chr8:96306443-96331095	+	418	NM_001290225	PTDSS1	ENSG00000156471	1	3: RPF,cORF,m6A	circAtlas:hsa-PTDSS1_0006,circBank:hsa_circPTDSS1_020,circBase:hsa_circ_0008303,CIRCpedia:HSA_CIRCpedia_61908,circRNADb:hsa_circ_03925,CSCD:chr8:96306443-96331095,exoRBase:exo_circ_012458
Condition-independent	Human	hsa_circLAPTM4B_001	hg38	chr8:97805352-97825153	+	504	NM_018407	LAPTM4B	ENSG00000104341	2	4: RPF,cORF,MS,m6A	circAtlas:hsa-LAPTM4B_0001,circBank:hsa_circLAPTM4B_005,circBase:hsa_circ_0003214,CIRCpedia:HSA_CIRCpedia_61928,circRNADb:hsa_circ_21808,CSCD:chr8:97805352-97825153,exoRBase:exo_circ_030249
Condition-independent	Human	hsa_circSTK3_001	hg38	chr8:98706466-98707311	-	333	NM_001256312	STK3	ENSG00000104375	2	3: RPF,cORF,m6A	circAtlas:hsa-STK3_0001,circBank:hsa_circSTK3_015,circBase:hsa_circ_0004592,CIRCpedia:HSA_CIRCpedia_61953,circRNADb:hsa_circ_18793,CSCD:chr8:98706466-98707311,exoRBase:exo_circ_000216
Condition-independent	Human	hsa_circVPS13B_001	hg38	chr8:99038422-99038566	+	144	NR_047582	VPS13B	ENSG00000132549	1	2: RPF,cORF	circAtlas:hsa-VPS13B_0253,CSCD:chr8:99038422-99038566
Condition-independent	Human	hsa_circEMC2_001	hg38	chr8:108449822-108450492	+	179	NM_001329494	EMC2	ENSG00000104412	1	3: RPF,cORF,m6A	circAtlas:hsa-EMC2_0004,circBank:hsa_circEMC2_001,circBase:hsa_circ_0135458,CIRCpedia:HSA_CIRCpedia_59812,CSCD:chr8:108449822-108450492,exoRBase:exo_circ_001074
Condition-independent	Human	hsa_circEMC2_002	hg38	chr8:108449822-108455930	+	323	NM_001329494	EMC2	ENSG00000104412	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-EMC2_0003,circBank:hsa_circEMC2_002,circBase:hsa_circ_0135459,CIRCpedia:HSA_CIRCpedia_59813,CSCD:chr8:108449822-108455930,exoRBase:exo_circ_000549
Condition-independent	Human	hsa_circPKHD1L1_001	hg38	chr8:109496918-109497272	+	272	NM_177531	PKHD1L1	ENSG00000205038	1	3: RPF,cORF,MS	CIRCpedia:HSA_CIRCpedia_176911,CSCD:chr8:109496918-109497272,exoRBase:exo_circ_012597,TSCD:chr8:109496918-109497272
Condition-independent	Human	hsa_circDERL1_001	hg38	chr8:123023712-123030716	-	204	NM_024295	DERL1	ENSG00000136986	1	3: RPF,cORF,MS	circAtlas:hsa-DERL1_0006,circBank:hsa_circDERL1_002,circBase:hsa_circ_0085434,CIRCpedia:HSA_CIRCpedia_59942,circRNADb:hsa_circ_04258
Condition-independent	Human	hsa_circPVT1_001	hg38	chr8:127890588-127890998	+	410	NR_003367	PVT1	ENSG00000249859	3	3: RPF,cORF,m6A	Circ2Disease:circPVT1,circAtlas:hsa-PVT1_0001,circBank:hsa_circTCONS_00015354_001,circBase:hsa_circ_0001821,CIRCpedia:HSA_CIRCpedia_60029,circRNADb:hsa_circ_16350,CSCD:chr8:127890588-127890998,exoRBase:exo_circ_029634
Condition-independent	Human	hsa_circASAP1_001	hg38	chr8:130152735-130169067	-	334	NM_001247996	ASAP1	ENSG00000153317	1	4: RPF,cORF,MS,m6A	Circ2Disease:hsa_circRNA_104689,circAtlas:hsa-ASAP1_0003,circBank:hsa_circASAP1_065,circBase:hsa_circ_0001824,CIRCpedia:HSA_CIRCpedia_60081,circRNADb:hsa_circ_04150,CSCD:chr8:130152735-130169067,exoRBase:exo_circ_001143
Condition-independent	Human	hsa_circASAP1_002	hg38	chr8:130152735-130180880	-	550	NM_001247996	ASAP1	ENSG00000153317	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-ASAP1_0002,circBank:hsa_circASAP1_058,circBase:hsa_circ_0008934,CIRCpedia:HSA_CIRCpedia_60082,circRNADb:hsa_circ_09642,CSCD:chr8:130152735-130180880,exoRBase:exo_circ_000080
Condition-independent	Human	hsa_circASAP1_003	hg38	chr8:130214555-130358143	-	346	NM_001247996	ASAP1	ENSG00000153317	1	3: RPF,cORF,MS	circAtlas:hsa-ASAP1_0009,circBank:hsa_circASAP1_028,circBase:hsa_circ_0009126,CIRCpedia:HSA_CIRCpedia_60093,circRNADb:hsa_circ_19125,CSCD:chr8:130214555-130358143
Condition-independent	Human	hsa_circASAP1_004	hg38	chr8:130358016-130361771	-	229	NM_001247996	ASAP1	ENSG00000153317	2	4: RPF,cORF,MS,m6A	circAtlas:hsa-ASAP1_0077,circBank:hsa_circASAP1_014,circBase:hsa_circ_0085616,CIRCpedia:HSA_CIRCpedia_60099,circRNADb:hsa_circ_15414,CSCD:chr8:130358016-130361771,exoRBase:exo_circ_000581
